address,nearest_mrt,time_to_nearest_mrt,price,unit_type,room_type,room_size,status,updated_time,link,updated_date
464A Bukit Batok West Avenue 8,,,900.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-25 13:57:29.325277,https://99.co/singapore/rooms/property/464a-bukit-batok-west-avenue-8-hdb-eWgcb3hXxPS7fC3vSM7niK,2023-09-25
142 Potong Pasir Avenue 3,Potong Pasir, 4 mins,850.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325279,https://99.co/singapore/rooms/property/142-potong-pasir-avenue-3-hdb-947RGUAQjwMTdb9GJi7HKd,2023-09-25
11 Sea Ave,Marine Parade, 3 mins,1750.0,Condo,Common room,107.0,FULLY FURNISHED,2023-09-25 13:57:29.325281,https://99.co/singapore/rooms/property/sea-avenue-residences-condo-aJKvgYPbuSaPBMN3Brzq6s,2023-09-25
12 Yishun Ave 9,,,1000.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325283,https://99.co/singapore/rooms/property/nine-residences-condo-k96jSBfrDzJh5q6utjCe6j,2023-09-25
448 Yishun Ring Road,,,900.0,HDB,Common room,80.0,FULLY FURNISHED,2023-09-25 13:57:29.325285,https://99.co/singapore/rooms/property/448-yishun-ring-road-hdb-gCpJQrNVacnGJwkEgFPEqk,2023-09-25
1 Claymore Dr,Orchard, 6 mins,2400.0,Condo,Master room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325288,https://99.co/singapore/rooms/property/orchard-towers-condo-Rhb87V95V49i3YfHefdseQ,2023-09-25
138 Marsiling Road,Marsiling, 9 mins,1200.0,HDB,Common room,85.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325290,https://99.co/singapore/rooms/property/138-marsiling-road-hdb-XDujMqgRsni6VpFuQUcjWF,2023-09-25
660C Jurong West Street 64,Boon Lay, 4 mins,900.0,HDB,Common room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325292,https://99.co/singapore/rooms/property/660c-jurong-west-street-64-hdb-RK63d3MiasMaPBG669ybAk,2023-09-25
660C Jurong West Street 64,Boon Lay, 4 mins,900.0,HDB,Common room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325294,https://99.co/singapore/rooms/property/660c-jurong-west-street-64-hdb-RK63d3MiasMaPBG669ybAk,2023-09-25
2 Pandan Valley,,,1750.0,Condo,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325297,https://99.co/singapore/rooms/property/pandan-valley-condo-Nrzkh6BoeG3MUExA7dGyN8,2023-09-25
2 Pandan Valley,,,1950.0,Condo,Master room,350.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325299,https://99.co/singapore/rooms/property/pandan-valley-condo-Lva3vzxd66C3GWQ7DmUKtw,2023-09-25
264 Toa Payoh East,,,1100.0,HDB,Common room,1000.0,FULLY FURNISHED,2023-09-25 13:57:29.325301,https://99.co/singapore/rooms/property/264-toa-payoh-east-hdb-AR5s3twjo3j4Q9bu7LUv85,2023-09-25
93 Yishun St 81,,,2000.0,Condo,Master room,255.0,FULLY FURNISHED,2023-09-25 13:57:29.325303,https://99.co/singapore/rooms/property/orchid-park-condominium-condo-ittenh4xt4cvhPo8naFK5Y,2023-09-25
493 Admiralty Link,,,950.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325305,https://99.co/singapore/rooms/property/493-admiralty-link-hdb-dZCWiFDRokhgC2JgLD2Vj7,2023-09-25
1 Teck Whye Avenue,,,900.0,HDB,Common room,120.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325308,https://99.co/singapore/rooms/property/1-teck-whye-avenue-hdb-RHWKKUgg44VkGXAjtS7CJ3,2023-09-25
304 Orchard Rd,Orchard, 2 mins,1800.0,Condo,Common room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325310,https://99.co/singapore/rooms/property/lucky-plaza-condo-UvWAwowm3nEBTF9ZnTVhQc,2023-09-25
